date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:54:09	21004/21004	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Aug%202019%2001:54:12%20GMT	https://coreui.io/demo/dark/base/collapse.html	C:/Users/user/Downloads/coreuidark/coreuidark/coreui.io/demo/dark/base/collapse.html	(from https://coreui.io/demo/dark/)
09:54:09	21005/21005	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Aug%202019%2001:54:12%20GMT	https://coreui.io/demo/dark/base/jumbotron.html	C:/Users/user/Downloads/coreuidark/coreuidark/coreui.io/demo/dark/base/jumbotron.html	(from https://coreui.io/demo/dark/)
09:54:10	21004/21004	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Aug%202019%2001:54:12%20GMT	https://coreui.io/demo/dark/base/list-group.html	C:/Users/user/Downloads/coreuidark/coreuidark/coreui.io/demo/dark/base/list-group.html	(from https://coreui.io/demo/dark/)
09:54:10	21004/21004	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Aug%202019%2001:54:12%20GMT	https://coreui.io/demo/dark/base/navs.html	C:/Users/user/Downloads/coreuidark/coreuidark/coreui.io/demo/dark/base/navs.html	(from https://coreui.io/demo/dark/)
09:54:10	21004/21004	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Aug%202019%2001:54:13%20GMT	https://coreui.io/demo/dark/base/pagination.html	C:/Users/user/Downloads/coreuidark/coreuidark/coreui.io/demo/dark/base/pagination.html	(from https://coreui.io/demo/dark/)
09:54:10	21004/21004	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Aug%202019%2001:54:13%20GMT	https://coreui.io/demo/dark/base/popovers.html	C:/Users/user/Downloads/coreuidark/coreuidark/coreui.io/demo/dark/base/popovers.html	(from https://coreui.io/demo/dark/)
09:54:11	21005/21005	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Aug%202019%2001:54:13%20GMT	https://coreui.io/demo/dark/base/progress.html	C:/Users/user/Downloads/coreuidark/coreuidark/coreui.io/demo/dark/base/progress.html	(from https://coreui.io/demo/dark/)
09:54:11	21004/21004	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Aug%202019%2001:54:13%20GMT	https://coreui.io/demo/dark/base/scrollspy.html	C:/Users/user/Downloads/coreuidark/coreuidark/coreui.io/demo/dark/base/scrollspy.html	(from https://coreui.io/demo/dark/)
09:54:11	21004/21004	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Aug%202019%2001:54:14%20GMT	https://coreui.io/demo/dark/base/switches.html	C:/Users/user/Downloads/coreuidark/coreuidark/coreui.io/demo/dark/base/switches.html	(from https://coreui.io/demo/dark/)
09:54:11	21004/21004	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Aug%202019%2001:54:14%20GMT	https://coreui.io/demo/dark/base/tabs.html	C:/Users/user/Downloads/coreuidark/coreuidark/coreui.io/demo/dark/base/tabs.html	(from https://coreui.io/demo/dark/)
09:54:12	21004/21004	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Aug%202019%2001:54:14%20GMT	https://coreui.io/demo/dark/base/tooltips.html	C:/Users/user/Downloads/coreuidark/coreuidark/coreui.io/demo/dark/base/tooltips.html	(from https://coreui.io/demo/dark/)
09:54:12	21004/21004	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Aug%202019%2001:54:14%20GMT	https://coreui.io/demo/dark/buttons/buttons.html	C:/Users/user/Downloads/coreuidark/coreuidark/coreui.io/demo/dark/buttons/buttons.html	(from https://coreui.io/demo/dark/)
09:54:12	21004/21004	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Aug%202019%2001:54:14%20GMT	https://coreui.io/demo/dark/buttons/brand-buttons.html	C:/Users/user/Downloads/coreuidark/coreuidark/coreui.io/demo/dark/buttons/brand-buttons.html	(from https://coreui.io/demo/dark/)
